Item;libitem;kcal;energy_density;Groupe
ALIMENT1;Boeuf;1,88649781135912;moderate;Viandes
ALIMENT10;Hamburger;2,58322526218546;moderate;Viandes
ALIMENT100;Biscuit apéritifs salés (hors mélange de fruits secs);4,92708363971866;high;Produits ultra-transformés
ALIMENT101;Fruits oléagineux et graines salés ou non-salés (cacahuètes, amandes, noix, graines de lin etc.);6,03360149307509;high;Fruits à coque
ALIMENT102;Sucre (hors édulcorant) (dans le café, le thé ou dans les yaourts etc.) (cuillerée à café);4;high;Produits ultra-transformés
ALIMENT11;Foie (génisse, veau, volaille, etc.);1,7280440313927;moderate;Viandes
ALIMENT119;Pomme (1 fruit);0,446000000000002;very low;Fruits
ALIMENT12;Autres abats (rognons, tripes, boudin, andouillette, etc.);2,27605314100978;moderate;Viandes
ALIMENT120;Poire (1 fruit);0,458000000000001;very low;Fruits
ALIMENT121;Orange, mandarine (1 fruit);0,441667816213025;very low;Fruits
ALIMENT122;Pamplemousse (demi);0,327000000000002;very low;Fruits
ALIMENT123;Banane (1 fruit);0,881;low;Fruits
ALIMENT124;Raisins (blanc ou noir) (1 portion moyenne);0,692472077490544;low;Fruits
ALIMENT125;Cerises (1 portion moyenne);0,665000000000002;low;Fruits
ALIMENT126;Melon (1 morceau);0,341000000000001;very low;Fruits
ALIMENT127;Pêche, nectarine, brugnon, prune, abricot (1 fruit);0,442764764686143;very low;Fruits
ALIMENT128;Fraises, framboises ou d'autres fruits rouges (1 portion moyenne);0,316123134044193;very low;Fruits
ALIMENT129;Kiwi (1 fruit);0,497;very low;Fruits
ALIMENT13;Pâté, rillettes;3,61266895355507;moderate;Charcuterie
ALIMENT130;Ananas, mangue (1 portion moyenne);0,482427108363379;very low;Fruits
ALIMENT131;Fruits en compote ou au sirop (1 portion moyenne);0,705232709207448;low;Fruits
ALIMENT132;Fruits secs (1 portion moyenne);2,36649878732552;moderate;Fruits
ALIMENT133;Carottes (râpées ou cuites);0,288821827749627;very low;Légumes
ALIMENT134;Epinards;0,226000000000001;very low;Légumes
ALIMENT135;Brocolis;0,232;very low;Légumes
ALIMENT136;Choux de Bruxelles;0,231000000000001;very low;Légumes
ALIMENT137;Chou (rouge, blanc ou vert);0,18147159959182;very low;Légumes
ALIMENT138;Petit pois;0,707000000000004;low;Légumes
ALIMENT139;Haricots verts, haricot beurre;0,253362205967713;very low;Légumes
ALIMENT140;Courgettes, aubergines;0,114454801848122;very low;Légumes
ALIMENT141;Asperges;0,168;very low;Légumes
ALIMENT142;Chou-fleur;0,178;very low;Légumes
ALIMENT143;Navets, rutabagas;0,178353786868694;very low;Légumes
ALIMENT144;Potiron;0,1;very low;Légumes
