item;name;pnns_group;energy_percent;protein_percent;lipid_percent;carb_percent;carb_source;fat_source;nutr_ca_percent;nutr_fe_percent;nutr_mg_percent;nutr_p_percent;nutr_k_percent;nutr_na_percent;nutr_zn_percent;nutr_cu_percent;nutr_mn_percent;nutr_se_percent;nutr_vitc_percent;nutr_vitb1_percent;nutr_vitb2_percent;nutr_vitb3_percent;nutr_vitb6_percent;nutr_vitb9_percent;nutr_vitb12_percent;nutr_vita_percent;nutr_vite_percent;nutr_vitd_percent
ALIMENT15;Choucroute garnie;Charcuterie;58,26187376;43,17088552;80,32718708;7,033825351;Produits animales non laitiers;Charcuterie;11,35192752;22,97162413;23,35532516;37,09051853;29,04338334;16,82688263;44,90005917;19,38764108;5,62576437;37,42480002;0;28,39366988;34,23096701;52,04171434;20,10444818;1,56128025;59,44892124;85,44668588;62,25622239;66,06334842
ALIMENT15;Choucroute garnie;Fruits;2,683112607;0,16633714;0,146999481;20,29731035;Fruits;Autres;2,238408243;0,718665336;1,979264844;0,689181932;2,609271216;0,005521666;0,216088288;2,111967818;2,723937294;0;3,909981381;0,496889223;1,477712523;0,215612074;1,048133811;1,639344262;0;3,025936599;4,072836979;0
ALIMENT15;Choucroute garnie;Féculents et produits céréaliers;5,675815131;1,87357768;0,111176078;36,72286728;Féculents et produits céréaliers;Féculents et produits céréaliers;6,395452123;6,929987167;13,00659755;5,10173638;14,80561104;0,047328565;2,315231652;12,29187619;17,01071045;0,264439498;23,92131466;3,382187148;2,598175864;3,591278035;10,88306187;11,70960187;0;0;0,32324103;0
ALIMENT15;Choucroute garnie;Ingrédients culinaires;0;0;0;0;NA;Autres;2,558180849;0,564665621;0,113100848;0;0,055738771;61,14535128;0,154348777;0,670465974;2,223622281;0,013221975;0;0;0;0;0;0;0;0;0;0
ALIMENT15;Choucroute garnie;Légumes;5,602103246;3,326742808;0,691762264;35,94599702;Légumes;Autres;63,95452123;50,30657351;29,40622055;7,160331762;23,68897766;20,85612116;5,865253518;42,90982233;67,15339288;1,586636991;71,39966;3,507453338;7,144983626;1,936108422;18,99057775;74,94145199;0;5,763688761;18,10149768;0
ALIMENT15;Choucroute garnie;Viandes;27,77709526;51,46245685;18,7228751;0;Produits animales non laitiers;Viandes;13,50151004;18,50848424;32,13949105;49,9582314;29,79701798;1,118794699;46,5490186;22,62822662;5,262572731;60,71090152;0,769043957;64,21980041;54,54816098;42,21528713;48,97377839;10,14832162;40,55107876;5,763688761;15,24620192;33,93665158
ALIMENT16;Cassoulet;Charcuterie;25,29534616;21,73432666;30,65968123;12,06356179;Produits animales non laitiers;Charcuterie;28,40020844;29,1658565;10,83032491;17,41879494;18,47391241;17,84541697;30,09503696;8,52670428;2,098060711;24,76486497;0;13,74324754;20,56689251;23,8325558;16,36582431;2,028985507;48,55708908;13,27433628;27,56227031;46,66666667
ALIMENT16;Cassoulet;Fruits;0,67329572;0,476220541;0,118063754;3,943466838;Fruits;Autres;2,084418968;1,049970834;3,176895307;1,190181007;5,956894204;0,038626444;0,797841136;3,003436135;5,171436132;0;72,13690215;1,175722911;0,914084112;1,421696023;2,567188127;3,47826087;0;15,92920354;13,22988975;0
ALIMENT16;Cassoulet;Ingrédients culinaires;0;0;0;0;NA;Autres;1,250651381;0,320824422;0,072202166;0;0,050269149;74,85418518;0,117329579;0,381792729;1,134086871;0,012109958;0;0;0;0;0;0;0;0;0;0
ALIMENT16;Cassoulet;Légumineuses;16,55185312;16,90447629;0,996162928;80,17453304;Légumineuses;Légumineuses;53,15268369;31,06163718;54,15162455;30,68435408;36,85357016;0,057939665;15,4875044;47,15140203;88,11854988;7,44762443;25,66915314;18,82745472;10,64426893;6,112215855;14,07942238;88,69565217;0;0;0;0
ALIMENT16;Cassoulet;Viandes;25,96552477;35,1934195;26,38724911;3,818438326;Produits animales non laitiers;Viandes;9,379885357;12,15244021;20,2166065;31,36622861;25,84672099;6,064351655;31,67898627;12,04768167;1,32310135;43,55548379;2,193944713;52,43088656;35,52098785;39,76281132;52,54713197;2,31884058;40,15056462;11,0619469;16,33319722;46,66666667
ALIMENT16;Cassoulet;Volaille et œufs;31,51398024;25,69155701;41,83884298;0;Produits animales non laitiers;Volaille et œufs;5,732152163;26,24927085;11,55234657;19,34044136;12,8186331;1,139480088;21,82330165;28,88898316;2,154765055;24,21991684;0;13,82268827;32,35376659;28,870721;14,44043321;3,47826087;11,2923463;59,73451327;42,87464271;6,666666667
ALIMENT20;Bâtonnets de poisson pané;Epices;2,679334917;1,798090006;9,045614035;3,560688;NA;Autres;6,499219526;12,82066832;9,495021337;3,858441878;11,64285046;0,187113047;8,831027567;9,47130712;6,47350207;0,389425752;0,27173913;1,887547904;9,091917064;3,622744787;12,25915428;1,545010248;0;46,81619464;75,58441558;0
ALIMENT20;Bâtonnets de poisson pané;Fruits;0,446555819;0,19074505;0,210526316;1,055214077;Fruits;Autres;3,803036753;0,485171933;0,800142248;0,147456377;0,817042137;0,016509975;0,509874571;1,222104145;0;0,043269528;38,94927536;0,343190528;0,591344199;0,144045518;0,984854992;0,409900678;0;0,05702338;0,649350649;0
ALIMENT20;Bâtonnets de poisson pané;Féculents et produits céréaliers;63,46793349;26,82829131;42,35087719;85,21678054;Féculents et produits céréaliers;Féculents et produits céréaliers;55,12984249;50,39723452;31,73897582;30,22855739;14,10674315;20,18344416;40,2800911;48,21997875;58,2411617;31,29314075;0;88,98644397;57,17559227;39,83578811;8,817887715;77,01403122;15,25054466;0;3,246753247;0
ALIMENT20;Bâtonnets de poisson pané;Herbes;0,513064133;0,566512799;0,831578947;0,626203604;NA;Autres;5,874840358;5,640123719;4,000711238;1,069058737;4,2435126;0,231139647;3,273394745;2,968916047;0,977132388;0,009272042;60,23550725;0,737859635;1,086594966;0,709244121;0,77299665;7,189027274;0;12,0034214;2,922077922;0
ALIMENT20;Bâtonnets de poisson pané;Ingrédients culinaires;1,19239905;0,66061369;1,143859649;2,108779381;NA;Autres;6,740456932;3,077809449;4,596372688;0,970754485;3,420512864;71,12680578;1,349468031;9,09936238;26,23261179;0,155564255;0;0,308871475;0,665262224;0,205805034;0,833118612;0,268011982;0;0,256605208;1,350649351;0
ALIMENT20;Bâtonnets de poisson pané;Légumes;4,717339667;3,15683058;0,768421053;7,19491123;Légumes;Autres;3,363133248;5,139790163;6,161095306;7,630867535;9,138105654;0,247649622;9,147149801;10,62035069;5,978828798;2,216017967;0,543478261;3,732196991;1,563366227;0,429975872;14,20596066;2,222922907;0;0;2,61038961;0
ALIMENT20;Bâtonnets de poisson pané;Poissons et fruits de mer;20,19002375;58,81305713;12,28070175;0;Produits animales non laitiers;Poissons et fruits de mer;10,64282673;17,13263388;40,00711238;43,92971246;53,10773892;6,053657418;23,45423026;13,61583422;1,526769356;56,40492036;0;2,859921066;12,93565436;54,91735388;57,25901114;3,941352672;65,35947712;25,66052081;0;0
ALIMENT20;Bâtonnets de poisson pané;Volaille et œufs;6,793349169;7,985859434;33,36842105;0,237423167;Produits animales non laitiers;Volaille et œufs;7,946643962;5,306568015;3,20056899;12,16515114;3,523494217;1,953680349;13,15476393;4,782146652;0,569993893;9,488389343;0;1,143968426;16,89026869;0,135042673;4,867015947;7,409743024;19,38997821;15,20623456;13,63636364;100
