key;Bienfaits pour la Santé;Bienfaits Cardiometaboliques;Sources_classiques;Fruits et légumes;Fruits à coque;Féculents et produits céréaliers;Légumineuses;Produits laitiers;Volaille et œufs;Viandes;Poissons et fruits de mer;Matières grasses;Produits sucrés, gras, salés et/ou ultra-transformés
nutr_vita;Essentielle pour la vision et la fonction immunitaire. <br> - Soutient la croissance et la différenciation des cellules. <br> - Importante pour la santé de la peau et des muqueuses.;Peut aider à réduire le stress oxydatif et l'inflammation, potentiellement réduisant le risque de maladies cardiovasculaires.;Foie, poisson, lait, œufs, légumes verts, carottes, patates douces, épinards.;Carottes, patates douces, courges, citrouilles, épinards, chou frisé, brocoli, blettes, mangues, abricots, pêches, melons cantaloups;;;;Lait entier, fromage, beurre;Jaune d'œuf;Foie;Poissons gras (saumon, thon, maquereau);;
nutr_vitb1;Essentielle pour le métabolisme des glucides et la production d'énergie. <br> - Soutient la fonction nerveuse et la contraction musculaire. <br> - Joue un rôle dans le bon fonctionnement du cœur, des muscles et du système digestif.;Une carence peut entraîner le béribéri, qui affecte le système cardiovasculaire. <br> - Cruciale pour le métabolisme du glucose. <br> - Peut améliorer la fonction cardiaque et réduire le risque d'insuffisance cardiaque.;Céréales complètes, produits céréaliers enrichis, légumineuses, graines et noix.;;;Grains entiers et produits céréaliers enrichis;Haricots, lentilles;;;Porc;Poisson;;
nutr_vitb2;Importante pour la production d'énergie et le métabolisme des graisses, des médicaments et des stéroïdes. <br> - Soutient la vision et la santé de la peau.;Aide à maintenir des niveaux sains d'homocystéine. <br> - Agit comme antioxydant, protégeant contre le stress oxydatif et les maladies cardiovasculaires.;Produits laitiers, œufs, viande maigre, légumes verts feuillus, céréales enrichies et grains.;Champignons, épinards;Amandes;Céréales enrichies;;Lait et produits laitiers;Œufs;Foie, viandes maigres;;;
nutr_vitb3;Essentielle pour la réparation de l'ADN et la production d'hormones stéroïdes. <br> - Soutient la santé de la peau et la fonction digestive.;Améliore les profils lipidiques en abaissant le cholestérol LDL et en augmentant le cholestérol HDL. <br> - Peut réduire l'athérosclérose et améliorer la fonction endothéliale.;Viande et volaille, poisson, céréales complètes et enrichies, noix et graines, légumineuses.;;;Grains entiers et céréales enrichies;Légumineuses;;;Viande (poulet, bœuf);Poissons (thon, saumon);;
Vitamine B5 (Acide pantothénique);Essentielle pour la synthèse des coenzymes impliquées dans le métabolisme des glucides, des graisses et des protéines. <br> - Joue un rôle dans la production de neurotransmetteurs, de stéroïdes et de l'hémoglobine.;Peut aider à réduire le stress oxydatif et l'inflammation. <br> - Peut améliorer la fonction cardiaque et réduire le risque de maladies cardiovasculaires.;Champignons, avocats, brocoli, patates douces, céréales complètes, légumineuses, œufs, viandes;Champignons, avocats, brocoli, patates douces;;Céréales complètes;Légumineuses;;Œufs;Viandes;;;
nutr_vitb6;Essentielle pour le métabolisme des acides aminés et la synthèse des neurotransmetteurs. <br> - Soutient la fonction immunitaire et la production d'hémoglobine. <br> - Joue un rôle dans le développement cognitif et la fonction nerveuse.;Réduit les niveaux d'homocystéine, abaissant le risque cardiovasculaire. <br> - Propriétés anti-inflammatoires qui peuvent réduire l'athérosclérose. <br> - Important pour maintenir des niveaux de tension artérielle et une fonction cardiaque saine.;Volaille, poisson, abats, pommes de terre et légumes amylacés, fruits non-citrus.;Pois chiches, bananes, pommes de terre;Noix;;;;Poulet;Bœuf, volaille;Poisson (saumon, thon);;
Vitamine B7 (Biotine);Soutient le métabolisme des glucides, des graisses et des protéines. <br> - Importante pour maintenir des cheveux, une peau et des ongles en bonne santé. <br> - Impliquée dans la régulation des gènes et la signalisation cellulaire.;Aide à réguler la glycémie, réduisant ainsi potentiellement le risque de diabète. <br> - Soutient le métabolisme, crucial pour la santé cardiovasculaire.;Jaune d'œuf, foie, levure, noix (en particulier les amandes), soja et autres légumineuses.;Chou-fleur;Noix, graines;;Légumineuses;;Jaune d'œuf;Foie;;;
nutr_vitb9;Essentielle pour la synthèse de l'ADN et la division cellulaire. <br> - Importante pour la production des globules rouges et le bon déroulement des cycles cellulaires. <br> - Cruciale pendant les périodes de croissance rapide, comme la grossesse et l'enfance.;Réduit les niveaux d'homocystéine, réduisant le risque cardiovasculaire. <br> - Soutient la santé endothéliale et aide à prévenir l'athérosclérose. <br> - Une carence en folates est liée à un risque accru d'accident vasculaire cérébral et de maladies cardiaques.;Légumes verts feuillus (épinards, chou frisé), agrumes et leurs jus, haricots et légumineuses, foie, céréales enrichies et pain.;Épinards, brocoli, avocats, agrumes;;;Légumineuses;;;Foie;;;
nutr_vitb12;Essentielle pour la formation des globules rouges et la fonction neurologique. <br> - Importante pour la synthèse de l'ADN et la production d'énergie. <br> - Soutient la santé cérébrale et la fonction cognitive.;Réduit les niveaux d'homocystéine, réduisant le risque cardiovasculaire. <br> - Soutient la santé nerveuse et réduit le risque d'athérosclérose. <br> - Important pour maintenir des cellules nerveuses en bonne santé.;Viande et volaille, produits laitiers, poisson et fruits de mer, œufs, céréales enrichies et produits nutritionnels.;;;;;Lait et produits laitiers;Œufs;Viandes (bœuf, agneau), foie;Poissons (sardines, saumon);;
nutr_vitc;Puissante antioxydante. <br> - Importante pour la synthèse du collagène et la cicatrisation des plaies. <br> - Améliore l'absorption du fer.;Réduit le stress oxydatif et l'inflammation. <br> - Peut abaisser la tension artérielle et améliorer la fonction endothéliale.;Agrumes (oranges, pamplemousses, citrons), baies (fraises, framboises), poivrons, brocoli, choux de Bruxelles, pommes de terre, tomates.;Agrumes (oranges, pamplemousses), fraises, poivrons rouges et verts, brocoli, choux de Bruxelles;;;;;;;;;
