Item;kcal;nutr_protein;nutr_fat;nutr_cholesterol;nutr_unsatfat_poly;nutr_dha;nutr_epa;nutr_ala;nutr_la;nutr_unsatfat_mono;nutr_satfat;nutr_carb;nutr_starch;nutr_sugar;nutr_fib;nutr_fibs;nutr_fibi;nutr_ca;nutr_fe;nutr_mg;nutr_p;nutr_k;nutr_na;nutr_zn;nutr_vita;nutr_vitb1;nutr_vitb2;nutr_vitb3;nutr_vitb6;nutr_biotin_dtu;nutr_vitb9;nutr_vitb12;nutr_vitc;nutr_vitd;nutr_vite;nutr_alc;prot_animal;prot_plant;nutr_omega3;nutr_omega6;nutr_fat_trans
ALIMENT1;1,886498;0,248515;0,097248;0,625907;0,00569;0,00000658915;0,0000306584;0,000299876;0,003267698;0,045524;0,038821;0,003138;0,001925;0,001213;0,000965;0;0;0,126599;0,029725;0,268643;2,137043;3,651141;1,119772;0,053153;0,03157;0,000726;0,002417;0,042753;0,003539;0,0015;0,129342;0,019157;0,005234;0,000116;0,003854;0;0,248515;0;0,000267;0,003047;0,0052
ALIMENT10;2,583225;0,135883;0,170186;0,495414;0,033484;0,00000214286;0,0000221429;0,001425714;0,013066429;0,069213;0,057712;0,126876;0,105991;0,020884;0,009648;0,000767;0,003669;0,937524;0,016308;0,264556;1,821267;2,579073;4,762331;0,026656;0,431417;0,000839;0,001656;0,020491;0,001998;0,04;0,19322;0,009708;0,017431;0,000611;0,019791;0;0,117991;0,017891;0,000558;0,01142;0,00466
ALIMENT100;4,927084;0,091142;0,218106;0,00653;0,021056;0;0,000003125;0,002235;0,031078333;0,060767;0,121624;0,649572;0,583223;0,061854;0,027197;0,043153;0,119278;0,909544;0,028318;0,303989;1,285457;2,073777;9,866993;0,008139;0,083082;0,003976;0,002683;0,036762;0,001859;0,01;0,315033;0,001044;0,009099;0,000292;0,018875;0;0,00604;0,085103;0,004121;0,067106;0,00088
ALIMENT101;6,033601;0,190103;0,551994;0,005374;0,255192;0;0,000009375;0,010952273;0,168878182;0,213775;0,065515;0,076325;0,039691;0,035768;0,080144;0,051931;0,307694;0,860258;0,033192;1,742246;4,155758;6,430849;1,843265;0,030695;0,024612;0,005099;0,001651;0,058019;0,004465;0,4;1,142289;0;0,015216;0;0,085679;0;0;0,190103;0,011607;0,499537;0,00015
ALIMENT102;4;0;0;0;0;0;0;0;0;0;0;0,999;0;0,999;0;0;0;0,021;0,0006;0,015;0;0,02;0,018;0,0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALIMENT103;0,004;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,069;0,0002;0,0166;0,01;0,255;0,013;0,0009;0;0;0,0001;0,001;0;0;0,026;0;0;0;0;0;0;0,001;0;0;0
ALIMENT104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,0008;0,01;0;0,09;0,01;0,0004;0,005;0,0001;0,00004;0;0;0;0,01;0;0;0;0,0004;0;0;0;0;0;0
ALIMENT105;0,008;0,0015;0,0002;0;0,00001;0;0;0;0;0,0001;0,00002;0;0;0;0;0;0;0,064;0,002;0,0644;0,02;0,51;0,0337;0,0004;0;0,0001;0,0007;0,0019;0,00001;0;0,01;0;0;0;0;0;0;0,0015;0;0,0000111;0
ALIMENT106;0,025;0,001;0,0006;0;0,0003;0;0;0;0;0;0,0003;0,004;0;0,004;0;0;0;0,033;0,0013;0,42;0,083;1,4;0,06;0,0009;0;0;0,0006;0,0244;0,00001;0;0,003;0;0,0007;0;0;0;0;0,001;0;0,000333;0
ALIMENT107;0,702;0,034;0,0142;0,045;0,00052;0;0;0;0;0,00419;0,00807;0,101;0,00531;0,0956;0,017;0;0,005427;0,971;0,00869;0,275;0,9;2,39;0,462;0,00498;0,1875;0,0008;0,0015;0,0036;0,0005;0,018;0,06;0,0085;0;0,0001;0,002;0;0,030219;0,003781;0,000105;0,000393;0,00078
